A,0.741438091 -1.064413905 1.348438263 0.644042373 -1.14388144 1.142725825 0.839162588 0.436714858 -1.244737267 -1.388962865 -0.31052649
AA,0.635561526 -0.682495415 0.346675843 2.094937563 -1.56069541 0.31231758 0.502506077 -0.434160352 -0.995179415 -1.013207555 0.793739676
AAPL,0.944575965 -0.052177068 -0.036613762 0.199089274 -2.028619528 0.374608606 1.671517134 1.086999536 -0.897538066 -0.970930576 -0.290911645
ABC,0.44565022 -0.913353264 1.886128783 0.586868346 0.332195818 -0.091142125 -0.02228695 0.856354237 -0.455873281 -0.428852886 -2.195688963
ABT,1.822873712 0.487762243 1.272439241 -0.37879768 -0.598540008 0.358971298 -0.81307745 -0.799742937 -1.687821507 -0.533342659 0.869275808
ADBE,0.688938498 -0.021276172 0.897106647 0.650937438 -1.437027335 0.94886297 0.311481059 -0.557001591 -0.498086512 -2.103112698 1.11917758
ADI,-0.392953038 -0.906482756 1.93335259 0.563831329 -1.92135334 0.957246542 -0.276333541 0.382999897 -0.413847774 -0.65719533 0.730735421
ADM,0.419400603 0.39029187 1.0958426 0.48452425 -0.938697875 -0.397532552 -0.28454265 -0.707712173 -2.21092701 0.618016958 1.531336069
ADP,0.402369648 0.245311007 1.835936189 -0.517431498 -1.28820169 0.293016583 1.432027578 -0.757184625 -1.522541046 -0.533051848 0.409749806
ADSK,-0.105563708 0.344174415 -0.889060974 0.450820416 -0.758432448 1.175854802 0.206402764 1.05264914 -1.377306104 -1.609621644 1.510083318
AEE,-1.101652503 -0.138128072 0.8309834 1.497246504 -1.538430691 -0.541022122 1.121356964 -0.008813666 -0.864771128 -0.601519227 1.344750643
AEP,-0.510246873 -1.040811777 1.311640263 1.22853303 -0.327227443 -0.7987867 0.052213401 -0.188980281 -1.505083919 -0.058209646 1.836959958
AES,1.313884974 -1.406252146 0.204923928 0.826373935 -0.359827667 -0.648690879 -0.458053142 0.880218029 -1.089674592 -0.968865573 1.705963016
AET,-0.264728099 -0.936154783 1.47917366 0.867864609 -0.577529371 -0.021295611 1.691023588 -1.62255764 -0.160907224 -0.987966955 0.533077717
AFL,0.37477991 -0.858806551 1.360787392 -0.194544643 0.3140679 0.000969923 0.923379123 -0.988483965 -1.821290255 -0.693772018 1.58291328
AGN,0.077145256 -1.03615582 1.173814535 1.149273276 -1.516665936 0.095070802 1.677637339 -0.544644117 -1.011265516 -0.655251205 0.591041446
AIG,-0.151803628 -1.186757207 -1.169337511 0.344512224 -1.143146873 0.144011632 2.284418583 0.848310888 -0.534045458 -0.149728954 0.713566363
AIV,1.305049062 -1.711373448 0.050494257 1.017303705 -0.811049223 0.231402442 0.372381568 1.350222349 -1.189908385 -1.032786608 0.418264151
